1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	1	1
27	1	1
28	1	1
29	1	1
30	1	1
31	1	1
32	1	1
33	1	1
34	1	1
35	1	1
36	1	1
37	1	1
38	1	1
39	1	1
40	1	1
41	1	1
42	1	1
43	1	1
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	1	1
50	1	1
51	1	1
52	1	1
53	1	1
54	1	1
55	1	1
56	1	1
2	2	0
3	2	0
5	2	0
57	2	0
40	2	0
9	2	0
24	2	0
51	2	0
13	2	0
55	2	0
56	2	0
10	2	0
11	2	0
30	2	0
58	2	0
19	2	0
50	2	0
8	2	0
37	2	0
22	2	0
25	2	0
27	2	0
59	2	1
54	2	1
12	2	1
14	2	1
15	2	1
60	2	1
17	2	1
18	2	1
61	2	1
26	2	1
28	2	1
62	2	1
31	2	1
32	2	1
63	2	1
36	2	1
38	2	1
41	2	1
42	2	1
43	2	1
44	2	1
45	2	1
46	2	1
48	2	1
49	2	1
52	2	1
2	3	0
6	3	0
64	3	0
65	3	0
23	3	0
5	3	0
61	3	0
3	3	0
63	3	0
16	3	0
9	3	0
20	3	0
57	3	0
53	3	0
37	3	1
12	3	1
13	3	1
14	3	1
15	3	1
60	3	1
17	3	1
18	3	1
22	3	1
59	3	1
1	3	1
24	3	1
25	3	1
8	3	1
26	3	1
27	3	1
28	3	1
62	3	1
29	3	1
10	3	1
31	3	1
32	3	1
33	3	1
35	3	1
38	3	1
39	3	1
41	3	1
42	3	1
43	3	1
44	3	1
45	3	1
46	3	1
47	3	1
48	3	1
66	3	1
49	3	1
51	3	1
52	3	1
54	3	1
56	3	1
61	4	0
12	4	1
13	4	1
15	4	1
60	4	1
16	4	1
17	4	1
4	4	1
20	4	1
21	4	1
22	4	1
59	4	1
23	4	1
1	4	1
64	4	1
24	4	1
25	4	1
8	4	1
26	4	1
27	4	1
28	4	1
62	4	1
29	4	1
10	4	1
30	4	1
31	4	1
11	4	1
32	4	1
63	4	1
33	4	1
34	4	1
35	4	1
36	4	1
67	4	1
3	4	1
37	4	1
38	4	1
39	4	1
68	4	1
41	4	1
9	4	1
42	4	1
43	4	1
44	4	1
45	4	1
